Siruta,F1,F2,F3,F4,F5,F6,F7,F8
9360,-0.10006613994376676,-0.0012404626221770043,0.0,0.0,0.0,0.0,0.0,0.0
9397,0.1417751110541335,-0.003187673254763447,0.0,0.0,0.0,0.0,0.0,0.0
9459,0.034340013235205,-0.002322648103257182,0.0,0.0,0.0,0.0,0.0,0.0
9495,0.040935039041911404,-0.002375748657116524,0.0,0.0,0.0,0.0,0.0,0.0
9538,0.06138198285123436,-0.002540379406526879,0.0,0.0,0.0,0.0,0.0,0.0
9574,0.10428510772281954,-0.002885818493439035,0.0,0.0,0.0,0.0,0.0,0.0
9627,0.024057446117221534,-0.0022398569171512943,0.0,0.0,0.0,0.0,0.0,0.0
9654,0.02698856869798031,-0.002263457163290547,0.0,0.0,0.0,0.0,0.0,0.0
9690,-0.012747052739559686,-0.0019435215682062801,0.0,0.0,0.0,0.0,0.0,0.0
9743,-0.10304453869518246,-0.001216481726884779,0.0,0.0,0.0,0.0,0.0,0.0
9798,-0.08399224192025262,-0.0013698833269043037,0.0,0.0,0.0,0.0,0.0,0.0
9832,-0.12857367085017546,-0.0010109311958314453,0.0,0.0,0.0,0.0,0.0,0.0
9887,-0.1400617803199223,-0.000918433456862687,0.0,0.0,0.0,0.0,0.0,0.0
9930,-0.09358930456370358,-0.0012926115531967917,0.0,0.0,0.0,0.0,0.0,0.0
10006,-0.12044216949710367,-0.001076402846464399,0.0,0.0,0.0,0.0,0.0,0.0
10051,-0.12174226419018183,-0.0010659349953396978,0.0,0.0,0.0,0.0,0.0,0.0
10104,-0.10498286169213562,-0.0012008751124800464,0.0,0.0,0.0,0.0,0.0,0.0
10195,-0.08481957490675718,-0.001363221967109966,0.0,0.0,0.0,0.0,0.0,0.0
10239,-0.13611422007002963,-0.0009502176593342803,0.0,0.0,0.0,0.0,0.0,0.0
10293,-0.08455955596814148,-0.0013653155373327746,0.0,0.0,0.0,0.0,0.0,0.0
10346,-0.13767433370172383,-0.0009376562380116397,0.0,0.0,0.0,0.0,0.0,0.0
10373,-0.10032615888238235,-0.0012383690519506428,0.0,0.0,0.0,0.0,0.0,0.0
10417,-0.13396315430511843,-0.0009675371948286149,0.0,0.0,0.0,0.0,0.0,0.0
10453,-0.11119967813358271,-0.0011508197516724094,0.0,0.0,0.0,0.0,0.0,0.0
10514,-0.10077528250362768,-0.0012347528851993175,0.0,0.0,0.0,0.0,0.0,0.0
10532,-0.09661497948577691,-0.001268250008775102,0.0,0.0,0.0,0.0,0.0,0.0
10649,-0.13658698177660356,-0.0009464111680179386,0.0,0.0,0.0,0.0,0.0,0.0
10701,-0.1298737655432537,-0.001000463344710108,0.0,0.0,0.0,0.0,0.0,0.0
10765,-0.13152843151626237,-0.000987140625100116,0.0,0.0,0.0,0.0,0.0,0.0
10827,-0.0908000104949174,-0.0013150698519642416,0.0,0.0,0.0,0.0,0.0,0.0
10872,-0.0685565722006133,-0.001494165268362419,0.0,0.0,0.0,0.0,0.0,0.0
10916,-0.10493558552147822,-0.0012012557616166166,0.0,0.0,0.0,0.0,0.0,0.0
10943,-0.07290597990109368,-0.0014591455482581175,0.0,0.0,0.0,0.0,0.0,0.0
11058,-0.0997115686638362,-0.0012433174906518259,0.0,0.0,0.0,0.0,0.0,0.0
11174,-0.13611422007002963,-0.0009502176593342803,0.0,0.0,0.0,0.0,0.0,0.0
11236,-0.1350977824008957,-0.0009584016156642404,0.0,0.0,0.0,0.0,0.0,0.0
11307,-0.14805145316102172,-0.0008541037536108329,0.0,0.0,0.0,0.0,0.0,0.0
11352,-0.1046519284975339,-0.0012035396564044412,0.0,0.0,0.0,0.0,0.0,0.0
11398,0.0042960067824308655,-0.0020807455801442657,0.0,0.0,0.0,0.0,0.0,0.0
11423,-0.0755770835432365,-0.0014376388723321874,0.0,0.0,0.0,0.0,0.0,0.0
11478,-0.143347474180611,-0.0008919783422110832,0.0,0.0,0.0,0.0,0.0,0.0
11502,-0.11767651351364587,-0.0010986708206531894,0.0,0.0,0.0,0.0,0.0,0.0
11539,-0.06250522235646694,-0.001542888357207764,0.0,0.0,0.0,0.0,0.0,0.0
11584,0.1687698044995049,-0.0034050239089334043,0.0,0.0,0.0,0.0,0.0,0.0
11637,-0.12238049249405672,-0.0010607962320671501,0.0,0.0,0.0,0.0,0.0,0.0
11664,-0.1324266787587529,-0.0009799082915974652,0.0,0.0,0.0,0.0,0.0,0.0
11735,-0.11349257241046644,-0.0011323582688003387,0.0,0.0,0.0,0.0,0.0,0.0
11762,-0.13765069561639504,-0.0009378465625583247,0.0,0.0,0.0,0.0,0.0,0.0
11842,-0.0959531130965734,-0.0012735790966162187,0.0,0.0,0.0,0.0,0.0,0.0
11940,-0.01816017427983128,-0.0018999372426368518,0.0,0.0,0.0,0.0,0.0,0.0
11995,-0.09448755180619406,-0.0012853792196903988,0.0,0.0,0.0,0.0,0.0,0.0
